Number of active threads,Average HTTP Request,HTTP Request
1,,3142.0
2,,3143.0
3,,3131.0
4,,3144.0
5,,3126.0
6,,3128.0
7,,3140.0
8,,3119.0
9,,3130.0
10,,3115.0
11,,3125.0
12,,3118.0
13,,3118.0
14,,3115.0
16,,3109.0
17,,3106.0
18,,3116.0
19,,3101.0
20,,3096.0
21,,3094.0
22,,3082.0
23,,3083.0
24,,3115.0
26,,3179.5
27,,3196.0
28,,3130.0
29,,3144.0
30,,3147.0
32,,3133.5
34,,3139.5
35,,3118.0
36,,36.25
37,,1296.6
38,,819.75
39,,322.3636363636364
41,,3120.0
43,,2136.6666666666665
44,,3257.0
45,,3217.0
46,,3152.0
47,,3122.0
48,,3198.0
49,,1579.5
50,,3176.0
51,,3111.0
52,,3218.0
53,,3113.0
55,,3134.0
57,,3196.0
58,,3111.0
59,,3108.0
61,,3126.5
62,,3104.0
63,,3114.0
64,,3225.0
65,,3111.0
66,,3095.0
67,,3114.0
68,,3094.0
69,,3131.0
70,,3118.0
71,,3107.0
72,,3115.0
73,,3127.0
74,,3111.0
75,,1628.5
76,,3126.0
77,,3111.0
78,,3086.0
79,,3180.0
80,,3101.0
82,,3079.5
83,,3074.0
84,,3176.0
85,,3071.0
86,,3081.0
87,,3104.0
88,,3067.0
89,,3108.0
90,,3096.0
91,,3074.0
92,,3064.0
93,,3106.0
94,,3107.0
95,,3174.0
96,,3111.0
97,,3214.0
98,,1576.0
99,,3213.0
100,,101.73311930405978
101,,1603.0
102,,3149.0
103,,10.0
104,,3188.5
105,,3099.0
107,,3123.0
108,,3207.0
109,,398.0
110,,3161.5
111,,1609.0
112,,3161.0
113,,3112.0
114,,1551.0
116,,1549.5
117,,3145.0
118,,3057.0
119,,3061.0
120,,3158.0
121,,3156.0
122,,3057.0
123,,13.0
124,,3112.5
125,,3117.0
126,,1581.5
127,,3132.0
129,,3133.0
130,,3152.0
131,,3148.0
132,,3146.0
133,,1110.3333333333333
134,,3043.0
135,,3087.0
136,,3116.0
137,,3071.0
138,,3089.0
139,,1653.5
140,,3111.0
141,,3153.0
142,,3053.0
143,,3150.0
145,,2067.6666666666665
151,,3078.6666666666665
153,,3119.0
154,,3074.0
155,,3070.0
156,,3061.0
157,,3089.0
158,,3067.0
159,,1574.0
160,,3050.0
162,,3075.5
164,,3060.5
165,,3057.0
166,,3033.0
167,,3057.0
168,,3088.0
169,,3062.0
170,,3061.0
171,,3113.0
172,,3060.0
173,,3022.0
174,,3024.0
175,,3082.0
176,,3045.0
177,,3055.0
178,,3043.0
179,,3050.0
181,,3059.5
183,,3031.0
184,,3072.0
185,,3127.0
186,,3063.0
187,,3101.0
188,,3098.0
189,,3057.0
190,,3092.0
191,,3096.0
192,,3052.0
193,,3048.0
195,,3072.5
196,,3050.0
197,,3069.0
198,,3064.0
199,,3110.0
200,,3106.0
